TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher
4755744,104,,,9886730,,,Dignity Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05036721,174.9396546,,
4755744,104,,,6133765,,,Dittmer Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05011038,174.9377205,,
4755744,104,,,5421093,,,Don Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05730687,174.9376795,,
4755744,104,,,9932039,,,Duke Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06525355,174.9410185,,
4755744,104,,,3939047,,,Edmund Hillary Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05898001,174.9546831,,
4755744,104,,,4379347,,,Emmerdale Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06279097,174.9710688,,
4755744,104,,,4568651,,,Ettrick Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0579747,174.9688083,,
4755744,104,,,1501815,,,Evans Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05422,174.962892,,
4755744,104,,,6310311,,,Fairdale Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06502475,174.968007221491,,
4755744,104,,,2902558,,,Farmland Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05049029,174.9557121,,
4755744,104,,,2334616,,,Fermi Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05293426,174.9671729,,
4755744,104,,,2763547,,,Fernaig Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0514996,174.956403266354,,
4755744,104,,,4414897,,,Frazen Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04999812,174.9670732,,
4755744,104,,,8282940,,,Fredrick Hanson Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04838715,174.936938700796,,
4755744,104,,,7231186,,,Gallantry Crescent,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04954711,174.943056,,
4755744,104,,,6884032,,,Gills Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0600067,174.9314648,,
4755744,104,,,2290779,,,Glenburn Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0498649,174.9353449,,
4755744,104,,,3891813,,,Green Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06286,174.93743,,
4755744,104,,,8391746,,,Hapai Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0639733,174.954592,,
4755744,104,,,5876841,,,Harper Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06553907,174.9612378,,
4755744,104,,,2818847,,,Heard Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04879137,174.9743694,,
4755744,104,,,9311402,,,Heathdale Crescent,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06119,174.96857,,
4755744,104,,,8451784,,,Heihei Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04666035,174.9521962,,
4755744,104,,,4893734,,,Hill Crescent,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05682243,174.9534028,,
4755744,104,,,7753755,,,Hoia Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0476739,174.9540657,,
4755744,104,,,5890479,,,Honour Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05163284,174.9440695,,
4755744,104,,,7995583,,,Huahua Crescent,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04909563,174.9726424,,
4755744,104,,,1422462,,,Huritao Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05012336,174.960189,,
4755744,104,,,1454880,,,Imjin Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05464983,174.9456943,,
4755744,104,,,4449860,,,Infantry Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05042571,174.9444165,,
4755744,104,,,3283080,,,Ingram Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05958571,174.942725,,
